Manufacturer;Model;Size;LCD Type;Resolution;Range;Interface;LFC;Freesync 2;HDR
Acer;SB270 / SB270 Bbix;27";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;SB270 / SB270 Bbmix;27";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;V277;27";VA;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;VE240Y;24";IPS;1920x1080;48-75 via DisplayPort;DisplayPort™;Yes;No;No
Acer;VG220Q;22";VA;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;VG240Y;24";AD-PLS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;VG240Y(2nd panel&scalar);24";IPS;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;VG240Y/ VG240Y bmiix;24";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;VG240Y/ VG240Y bmipx;24";IPS;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;VG240YU;24";NA;2560x1440;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;VG270/ VG270 bmiix;27";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;VG270/ VG270 bmipx;27";IPS;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;VG270_1D1H;27";A-HVA;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;VG270_1D1H(ODM 2-Qisda);27";IPS;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;VG270_1D1H(Panel 2-INX_Qisda);27";IPS;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;VG270_2H;27";A-HVA;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;VG270_2H(ODM 2-Qisda);27";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;VG270_2H(Panel 2-INX_Qisda);27";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Acer;VG270K;27";A-HVA;3840x2160;40-60 via DisplayPort 40-60 via HDMI;DisplayPort™, HDMI®;No;No;Yes
Acer;VG270U;27";IPS;2560x1440;40-144 via DisplayPort 40-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;VG270U (Panel 3-INX Panel);27";IPS;2560x1440;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;VG270U(2nd ODM & AUO Panel);27";IPS;2560x1440;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;XF240H;24";TN;1920x1080;48-144 via DisplayPort 144-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
